target_id,target_type,member_count,dimension,status,mapped_runs,supporting_runs,conflicting_runs,mixed_runs,inconclusive_runs,unavailable_runs,metric_refs,summaries
CONSENSUS_K6_C0005,consensus_cluster,12,biological_support,mixed,2,1,0,0,1,6,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"No significant RNA pathway enrichment (min q=0.110433) and no significant WXS feature enrichment (min q=0.25183), so biological support is not established. || Mutation enrichment shows significant missense mutation burden (q=0.0137) and elevated TMB (q=0.0222); pathway enrichment shows strong immune/inflammatory signatures (e.g., allograft rejection q=0.0)."
CONSENSUS_K6_C0005,consensus_cluster,12,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0005,consensus_cluster,12,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0005,consensus_cluster,12,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0005,consensus_cluster,12,structural_adequacy,conflicting,1,0,1,0,0,7,tool_results.tool_structural_adequacy.metrics.split_candidates,"Split candidate split:C0001_S2:k2:p1 meets fused criteria (q=0.005) and has confirmation from CT (q=0.01) and WSI (q=0.005), but RNA (q=0.41) and genomic (q=0.11) do not confirm. At least two original modalities confirm, so the current unsplit structure is structurally conflicting."
CONSENSUS_K6_C0006,consensus_cluster,13,biological_support,inconclusive,4,0,0,0,4,4,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,No significant mutation enrichment (min q=0.4738) and no significant RNA pathway enrichment (min q=0.9806). || No significant mutation or pathway enrichment at q<0.05; top mutation PBRM1 q=0.4738 and no significant pathways. || No significant enrichment at q<0.05 in mutation or pathway analyses; biological support remains inconclusive. || No significant mutation enrichment (q>0.05) and no significant RNA pathway enrichment (q>0.05) for these sets.
CONSENSUS_K6_C0006,consensus_cluster,13,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0006,consensus_cluster,13,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0006,consensus_cluster,13,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0006,consensus_cluster,13,structural_adequacy,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003_CORE_T0.9,stable_core,15,biological_support,mixed,8,2,0,0,6,0,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"RNA pathway enrichment shows 29 significant pathways at q<0.05, including HALLMARK_HEME_METABOLISM (q=0.0) and HALLMARK_ALLOGRAFT_REJECTION (q=0.0), and WXS enrichment shows significant missense and TMB depletion (q=0.0137, q=0.0222), indicating distinct biological activity. || Mutation enrichment shows significant missense mutation depletion (q=0.0137) and lower TMB (q=0.0222); pathway enrichment shows opposite immune/inflammatory signatures (e.g., allograft rejection q=0.0). || No significant pathways at q<0.05 in RNA enrichment (min q=0.073) and no significant mutations (min q=1.0), so biological support is not established. || No significant RNA pathways (q<0.05) and no significant mutations (q<0.05); biological support is not established. || No significant mutation enrichment (min q=1.0) and no significant RNA pathway enrichment at q<0.05 (min q=0.0729), though some pathways show trends. || No significant pathways at q<0.05; top pathway HALLMARK_ALLOGRAFT_REJECTION has q=0.072925, and mutation enrichment shows no significant genes. || No significant enrichment at q<0.05 in mutation or pathway analyses; biological support remains inconclusive. || No significant mutation enrichment (q>0.05) and no significant RNA pathway enrichment (q>0.05) for these sets."
CONSENSUS_K6_C0003_CORE_T0.9,stable_core,15,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003_CORE_T0.9,stable_core,15,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003_CORE_T0.9,stable_core,15,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003_CORE_T0.9,stable_core,15,structural_adequacy,conflicting,1,0,1,0,0,7,tool_results.tool_structural_adequacy.metrics.split_candidates,"Split candidate split:C0002:k2:p1 meets fused criteria (q=0.005) and has confirmation from CT (q=0.005), WSI (q=0.005), and RNA (q=0.02), but genomic does not (q=0.46). At least two original modalities confirm, so the current unsplit structure is structurally conflicting."
CONSENSUS_K6_C0004_CORE_T0.9,stable_core,13,biological_support,mixed,8,5,0,0,3,0,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"No significant RNA pathway enrichment (min q=0.28255) and no significant WXS feature enrichment (min q=0.06446), so biological support is not established. || Mutation enrichment shows significant missense mutation burden (q=0.0137) and elevated TMB (q=0.0222); pathway enrichment shows strong immune/inflammatory signatures (e.g., allograft rejection q=0.0). || Mutation enrichment shows 1 significant feature (mutation::PBRM1 q=0.016), indicating distinct biological activity. || Mutation enrichment shows 1 significant feature (q<0.05): mutation::PBRM1 (q=0.0156), indicating distinct biological activity. || RNA pathway enrichment shows 1 significant pathway (HALLMARK_WNT_BETA_CATENIN_SIGNALING, q=0.02505), indicating distinct biological activity. || Pathway enrichment shows HALLMARK_WNT_BETA_CATENIN_SIGNALING q=0.02505, and mutation PBRM1 has p=0.00696 (q=0.1949). || No significant enrichment at q<0.05 in mutation or pathway analyses; biological support remains inconclusive. || No significant mutation enrichment (q>0.05) and no significant RNA pathway enrichment (q>0.05) for these sets."
CONSENSUS_K6_C0004_CORE_T0.9,stable_core,13,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0004_CORE_T0.9,stable_core,13,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0004_CORE_T0.9,stable_core,13,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0004_CORE_T0.9,stable_core,13,structural_adequacy,conflicting,2,0,2,0,0,6,tool_results.tool_structural_adequacy.metrics.split_candidates,"Split candidate split:C0004:k2:p1 meets fused criteria (separation_gain_over_null=0.015662, q=0.005) and at least two original modalities (CT q=0.005, WSI q=0.02), indicating structural conflict in the current unsplit set. || Split candidate split:C0004:k2:p1 meets fused criteria (separation_gain_over_null=0.015662, q=0.005) and at least two original modalities (CT q=0.005, WSI q=0.02), indicating structural conflict in C0004."
CONSENSUS_K6_C0006_CORE_T0.9,stable_core,10,biological_support,mixed,8,1,0,0,7,0,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"No significant RNA pathway enrichment (min q=0.110433) and no significant WXS feature enrichment (min q=0.25183), so biological support is not established. || Mutation enrichment shows significant missense mutation burden (q=0.0137) and elevated TMB (q=0.0222); pathway enrichment shows strong immune/inflammatory signatures (e.g., allograft rejection q=0.0). || No significant pathways at q<0.05 in RNA enrichment (min q=0.92) and no significant mutations (min q=0.67), so biological support is not established. || No significant RNA pathways (q<0.05) and no significant mutations (q<0.05); biological support is not established. || No significant mutation enrichment (min q=0.4738) and no significant RNA pathway enrichment (min q=0.9806). || No significant mutation or pathway enrichment at q<0.05; top mutation PBRM1 q=0.4738 and no significant pathways. || No significant enrichment at q<0.05 in mutation or pathway analyses; biological support remains inconclusive. || No significant mutation enrichment (q>0.05) and no significant RNA pathway enrichment (q>0.05) for these sets."
CONSENSUS_K6_C0006_CORE_T0.9,stable_core,10,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0006_CORE_T0.9,stable_core,10,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0006_CORE_T0.9,stable_core,10,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0006_CORE_T0.9,stable_core,10,structural_adequacy,conflicting,1,0,1,0,0,7,tool_results.tool_structural_adequacy.metrics.split_candidates,"Split candidate split:C0001_S2:k2:p1 meets fused criteria (q=0.005) and has confirmation from CT (q=0.01) and WSI (q=0.005), but RNA (q=0.41) and genomic (q=0.11) do not confirm. At least two original modalities confirm, so the current unsplit structure is structurally conflicting."
